Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
ISCED-F 031,ISCED-F 0314,0314 Sociology and cultural studies,"<p></p><div><b>Sociology and cultural studies</b> is the study of human beings and the way they behave in groups  and  in  relation  to  society.  The  study  of  ethnology  and  social  anthropology  are included here, likewise the study of human and social geography.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Criminology </li><li>Cultural geography  </li><li>Cultural studies </li><li>Demography/population studies </li><li>Ethnology </li><li>Gender studies  </li><li>Social anthropology </li><li>Sociology  </li></ul><p></p><div><i>Exclusions:  </i></div><div><i>Social welfare</i> where emphasis is given to practical social work is excluded from this detailed field and included in detailed field 0923 ‘Social work and counselling’. </div><div><br /><i>Physical  geography</i>  is  excluded  from  this  detailed  field  and  included  in  detailed  field  0532 ‘Earth science’. </div>",1,,,,0,null,,37,,
ISCED-F 031,ISCED-F 0319,0319 Social and behavioural sciences not elsewhere classified ,,,,,,,,,,,
ISCED-F 03,ISCED-F 032,032 Journalism and information,,1,,,,0,null,,38,,
ISCED-F 032,ISCED-F 0320,0320 Journalism and information not further defined ,,,,,,,,,,,
ISCED-F 032,ISCED-F 0321,0321 Journalism and reporting,"<p></p><div><b>Journalism and reporting</b> is the study of the theory and practices of journalism/reporting as part of the field of mass communication. Journalism and reporting is about the wording and content of messages. It comprises news reporting, writing commentaries and feature stories of public interest etc.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Broadcast journalism </li><li>Editing </li><li>Information (wording and content) </li><li>Journalism </li><li>Mass communication (wording and content) </li><li>News reporting </li></ul><p></p><div><i>Exclusions:  </i></div><div>Study  of <i>techniques  for  mass  communication</i> (e.g.  printing  and  radio/TV  production)  is excluded from this detailed field and included in detailed field 0211 ‘Audio-visual techniques and media production’.<br /><br /></div><div>Study  of <i> lay-out  and  publishing  design</i> is  excluded  from  this  detailed  field  and  included in detailed field 0211 ‘Audio-visual techniques and media production’. <br /><br />Study  of <i>public  relations</i> is  excluded  from  this  detailed  field  and  included in  detailed  field 0414 ‘Marketing and advertising’. </div><br />",1,,,,0,null,,39,,
ISCED-F 032,ISCED-F 0322,"0322 Library, information and archival studies","<p></p><div>Library,  information  and  archival  studies is  the  study  of  the  methods  of  selecting, acquiring,  organizing  and  storing  collections  of  information,  and  facilitating  the  use  of information. Museum and library studies are included here.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Archival sciences </li><li>Curatorial studies </li><li>Documentation </li><li>Information science </li><li>Library studies </li><li>Museum documentation </li><li>Museum studies </li><li>Museology</li></ul><p></p><div><i>Exclusions:  </i></div><div><i>Restoration</i> and<i> preservation</i> of artistic heritage are excluded from this field and included in field 0222 ‘History and archaeology’.  </div>",1,,,,0,null,,40,,
ISCED-F 032,ISCED-F 0329,0329 Journalism and information not elsewhere classified ,,,,,,,,,,,
ISCED-F 03,ISCED-F 038,"038 Inter-disciplinary programmes and qualifications involving social sciences, journalism and info",,1,,,,0,null,,41,,
ISCED-F 038,ISCED-F 0388,"0388 Inter-disciplinary programmes and qualifications involving social sciences, journalism and info","<p></p><div><i>Inter-disciplinary programmes and qualifications</i> to which the greatest intended learning time is devoted to social sciences, journalism and information are classified here.  </div><br />",1,,,,0,null,,42,,
ISCED-F 03,ISCED-F 039,"039 Social sciences, journalism and information not elsewhere classified ",,,,,,,,,,,
ISCED-F 039,ISCED-F 0399,"0399 Social sciences, journalism and information not elsewhere classified ",,,,,,,,,,,
,ISCED-F 04,"04 Business, Administration and Law",,1,,,,0,null,,43,,
ISCED-F 04,ISCED-F 040,"040 Business, administration and law not further defined ",,,,,,,,,,,
